Feature Index,Mean_Absolute_Importance,Std_Absolute_Importance,True_Stable_Rank
91,422.340884,119.032605,1
90,305.512059,74.616371,2
92,305.234703,74.434170,3
84,284.652275,72.493142,4
98,284.626345,72.486824,5
99,236.331103,59.895986,6
83,236.149235,59.688917,7
85,230.356139,60.640929,8
97,230.274738,60.396604,9
390,201.431277,21.622499,10
380,201.261158,21.523136,11
387,197.888033,24.985756,12
383,197.871804,25.278903,13
442,191.219483,89.598688,14
426,191.053653,89.676359,15
342,177.473776,109.254353,16
330,177.313431,109.219123,17
447,160.056304,82.150473,18
421,159.955863,82.183708,19
343,159.050369,111.981764,20
329,158.905458,111.902676,21
391,155.783351,20.106547,22
398,155.708879,21.395801,23
372,155.704947,21.593813,24
379,155.586708,19.843169,25
337,151.060308,101.748166,26
335,151.022173,101.827712,27
344,150.637642,102.685564,28
328,150.603544,102.615095,29
100,149.322274,38.937736,30
82,149.097890,39.014386,31
397,146.927157,14.698806,32
373,146.711743,14.633927,33
384,138.916923,18.666912,34
386,138.793003,18.607654,35
86,130.365040,40.020420,36
96,130.295225,40.107925,37
327,126.358783,75.283459,38
345,126.039394,75.341303,39
323,124.032179,83.150986,40
349,123.850372,83.065639,41
112,122.775910,39.574524,42
70,122.716103,39.612552,43
371,120.521613,23.877774,44
399,120.475432,23.777873,45
71,118.362582,34.247458,46
111,118.128948,34.395237,47
350,118.017741,85.766700,48
322,117.982928,85.749183,49
427,117.797540,86.034702,50
441,117.761484,86.006388,51
334,115.352693,78.335368,52
338,115.312371,78.330922,53
51,114.907580,14.092876,54
33,114.819651,13.951242,55
42,113.912068,71.241639,56
446,112.500278,46.899990,57
422,112.470917,46.842699,58
448,112.374802,71.919084,59
420,112.304597,71.960705,60
393,109.550797,18.936177,61
377,109.517255,18.799552,62
394,109.403656,20.360482,63
376,109.136777,20.417544,64
47,107.089142,13.703061,65
37,106.925775,14.105756,66
21,105.289483,56.825402,67
63,105.187969,56.709480,68
378,104.253163,17.397286,69
414,103.938361,48.514040,70
392,103.933474,17.276226,71
454,103.933411,48.505932,72
388,102.217359,14.073775,73
382,102.180153,14.061726,74
351,101.615852,72.851096,75
321,101.515553,72.721493,76
381,101.094370,10.768069,77
389,101.040731,10.838850,78
429,100.331423,49.930853,79
439,100.308750,49.844643,80
433,99.845390,75.335479,81
435,99.809940,75.397868,82
365,99.323635,14.579011,83
405,99.257782,14.690299,84
341,98.902885,66.232489,85
331,98.754836,66.045162,86
413,98.646714,59.460802,87
455,98.626367,59.491328,88
443,97.607012,62.138185,89
425,97.552700,62.137412,90
140,96.152267,64.526779,91
419,94.849895,71.692606,92
449,94.839100,71.687435,93
538,93.200708,18.195834,94
526,93.176792,18.201960,95
142,92.277698,19.672613,96
138,92.232766,19.661065,97
400,87.011069,20.961831,98
370,86.960600,20.981523,99
352,85.685595,54.743546,100
320,85.587933,54.718186,101
609,85.573957,5.175014,102
651,85.561226,5.186905,103
251,83.406982,37.777915,104
225,83.176958,37.748420,105
93,82.418842,22.922565,106
89,82.021628,22.971990,107
404,81.955391,8.014634,108
62,81.935829,43.919757,109
22,81.912957,43.850026,110
366,81.842741,8.050758,111
554,81.339955,8.001511,112
510,81.206361,8.013284,113
105,79.795028,40.838959,114
77,79.777934,40.767481,115
516,79.720713,8.770444,116
548,79.667553,8.745482,117
631,78.497666,12.042099,118
629,78.453955,12.068156,119
64,78.180265,47.131532,120
20,78.171461,47.404780,121
34,77.996329,26.500950,122
128,77.798652,30.291253,123
152,77.717318,30.251317,124
50,77.443952,26.494388,125
440,77.170860,63.775527,126
428,77.064043,63.716515,127
418,75.908645,54.658945,128
450,75.773071,54.524770,129
364,73.446349,17.629873,130
1062,73.325404,44.863630,131
406,73.258159,17.600489,132
434,73.191038,45.029597,133
104,72.011653,36.667310,134
78,71.898052,36.693826,135
316,71.305102,38.576156,136
356,71.288714,38.524468,137
650,71.096055,5.717681,138
779,71.085753,2.415228,139
775,71.043348,2.401647,140
610,71.015775,5.724144,141
224,70.432312,24.170291,142
252,70.428017,24.143372,143
153,69.849380,40.558684,144
127,69.708458,40.529897,145
553,68.298863,7.428128,146
517,68.276618,10.761724,147
511,68.261305,7.411295,148
547,68.196008,10.768828,149
