Feature Index,Mean_Absolute_Importance,Std_Absolute_Importance,True_Stable_Rank
382,235.833077,36.750093,1
388,235.776431,36.745173,2
42,193.852264,7.424221,3
389,184.696722,30.043474,4
381,184.677211,30.043064,5
395,176.197190,31.023236,6
375,176.172961,31.026569,7
288,167.341593,14.123493,8
286,167.296877,14.130354,9
387,117.755788,17.192657,10
383,117.640996,17.172607,11
426,107.738218,4.323210,12
442,107.539308,4.324617,13
376,98.590671,17.663877,14
394,98.566687,17.644120,15
289,97.145386,13.823511,16
285,97.092203,13.810752,17
390,94.968054,15.059140,18
380,94.764613,15.047348,19
294,88.883834,11.465192,20
280,88.865217,11.459456,21
1047,87.015273,5.421924,22
287,86.967893,5.485838,23
279,86.610979,13.454208,24
295,86.394333,13.415347,25
450,85.597758,3.219791,26
418,85.534781,3.222076,27
54,83.042841,2.085831,28
30,83.025820,2.092782,29
293,82.089050,13.642495,30
281,81.790412,13.634881,31
402,81.661285,16.772114,32
368,81.613021,16.754863,33
449,75.735996,3.565088,34
419,75.660253,3.564762,35
396,73.815910,15.733300,36
374,73.784803,15.740186,37
384,69.148496,12.340754,38
386,69.100732,12.342963,39
47,68.829140,2.094636,40
37,68.807910,2.084744,41
401,68.566626,12.980897,42
369,68.362261,12.961429,43
377,68.112380,15.862411,44
393,68.043346,15.851433,45
379,67.416922,13.599555,46
391,67.411371,13.610214,47
400,65.106336,14.411245,48
370,65.032486,14.411294,49
425,63.264726,3.057823,50
443,63.249168,3.052479,51
55,62.499806,2.104167,52
29,62.444626,2.096589,53
441,58.942338,4.027373,54
427,58.904728,4.024912,55
274,54.977798,14.944718,56
300,54.818179,14.953316,57
278,47.736294,11.940738,58
296,47.620920,11.955820,59
503,46.787170,4.626895,60
463,46.752940,4.631168,61
26,46.473462,1.472114,62
58,46.464774,1.468396,63
699,45.689271,1.008021,64
659,45.640389,1.005365,65
658,45.151541,1.140548,66
700,45.142623,1.139904,67
392,45.040915,15.517608,68
378,44.914965,15.525286,69
462,44.604381,5.603706,70
504,44.592205,5.606562,71
57,43.938362,1.692019,72
27,43.932511,1.705306,73
33,43.916198,1.698918,74
51,43.828658,1.687133,75
385,42.726276,5.996291,76
301,42.606620,15.730949,77
273,42.603466,15.696308,78
43,42.516083,1.166395,79
41,42.285777,1.186575,80
238,42.159792,2.485640,81
1057,41.906580,6.111211,82
282,41.092398,11.911797,83
292,41.090621,11.917529,84
693,39.656824,1.115351,85
665,39.613857,1.109047,86
307,38.559556,22.737408,87
267,38.445616,22.670567,88
49,38.179034,1.150093,89
189,37.967063,3.732333,90
35,37.892782,1.128497,91
373,37.797856,10.235590,92
329,37.721434,1.692038,93
397,37.708358,10.245389,94
343,37.461360,1.708810,95
398,35.137816,12.091162,96
664,35.137200,0.875985,97
694,35.108219,0.873162,98
372,35.063647,12.083838,99
774,34.499469,1.174743,100
780,34.436093,1.177624,101
666,34.287408,1.033868,102
692,34.274241,1.030716,103
433,33.365583,3.469367,104
435,33.291550,3.463720,105
407,32.285468,5.495333,106
363,32.266095,5.503967,107
91,31.906368,1.814310,108
308,31.809877,18.589903,109
266,31.803398,18.592178,110
672,31.771659,0.619951,111
686,31.768529,0.621242,112
571,31.450770,3.649252,113
591,31.421979,3.650623,114
671,31.201440,0.536532,115
687,31.174338,0.538547,116
767,30.525331,0.903856,117
787,30.522859,0.895492,118
701,30.504519,0.847462,119
657,30.480949,0.851260,120
584,30.368740,4.548720,121
578,30.342931,4.552231,122
299,30.278689,10.481644,123
362,30.271464,4.614017,124
275,30.254080,10.490203,125
408,30.253454,4.602497,126
505,30.006954,4.418167,127
231,29.971843,1.784583,128
461,29.960141,4.423533,129
245,29.945458,1.787869,130
90,29.885616,1.799150,131
46,29.871315,0.963656,132
38,29.859721,0.946296,133
92,29.827758,1.802650,134
698,28.931711,0.556753,135
660,28.916489,0.558512,136
422,28.232186,1.976500,137
446,28.002791,1.971040,138
182,27.579231,2.682674,139
196,27.577781,2.682081,140
320,27.157878,1.043696,141
352,27.014049,1.059218,142
673,26.764782,0.598157,143
685,26.727960,0.606339,144
502,26.633151,2.349520,145
464,26.633071,2.339878,146
310,26.618658,13.718067,147
264,26.549303,13.723854,148
